base,task,family,n,rho,p,partial_rho_date,fdr_q
egemaps_slopeV500-1500_sma3nz_stddevNorm,vowel,other,47,0.03331502013971604,0.8240743307572381,0.03413007497498418,0.968678364963158
egemaps_mfcc4_sma3_stddevNorm,vowel,other,47,0.03296798867992733,0.8258783499182142,-0.04906538294782372,0.968678364963158
egemaps_loudness_sma3_meanRisingSlope,prosody,other,45,0.033215806916271184,0.8285138971494561,-0.037567419880748125,0.968678364963158
egemaps_shimmerLocaldB_sma3nz_amean,prosody,surface_damping,45,0.03314990253746906,0.8288490595289923,0.052011246499318056,0.968678364963158
egemaps_loudness_sma3_pctlrange0-2,prosody,other,45,0.03051372738538405,0.8422795894837698,-0.0064355727401439675,0.968678364963158
egemaps_F2amplitudeLogRelF0_sma3nz_stddevNorm,vowel,other,47,0.027473323899939443,0.8545544950652958,0.2081148144339166,0.968678364963158
egemaps_shimmerLocaldB_sma3nz_stddevNorm,prosody,other,45,-0.028075265369705404,0.8547424489841667,0.0861618216518675,0.968678364963158
egemaps_mfcc4_sma3_amean,vowel,other,47,0.027415485323307995,0.854857406647553,0.10222781489077785,0.968678364963158
egemaps_F3frequency_sma3nz_stddevNorm,vowel,other,47,0.027299808170045087,0.855463291779622,0.03933326978925142,0.968678364963158
egemaps_logRelF0-H1-H2_sma3nz_stddevNorm,vowel,other,47,0.025101942258049934,0.8669903678851179,0.2439039265757631,0.968678364963158
egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,prosody,source_pitch,45,-0.025570898975224642,0.8675786068080126,-0.01017139477259573,0.968678364963158
egemaps_spectralFluxV_sma3nz_stddevNorm,vowel,other,47,0.024870587951524126,0.8682053785085704,0.00012702151208675516,0.968678364963158
egemaps_spectralFlux_sma3_amean,prosody,other,45,0.024121002641577884,0.875025707848425,-0.018073709661995205,0.968678364963158
egemaps_F3bandwidth_sma3nz_amean,vowel,surface_damping,47,-0.022846237769423326,0.8788492531171652,-0.08891122001904361,0.968678364963158
egemaps_F2frequency_sma3nz_amean,vowel,geometric_vocal_tract,47,0.022441367733003165,0.8809806307975672,0.06221080307303253,0.968678364963158
egemaps_F1bandwidth_sma3nz_amean,vowel,surface_damping,47,0.021400273353637037,0.8864651071645365,-0.004929790312550233,0.968678364963158
egemaps_F2amplitudeLogRelF0_sma3nz_amean,vowel,other,47,0.019722954631324948,0.8953121624430738,-0.10110163504030344,0.968678364963158
egemaps_spectralFlux_sma3_stddevNorm,vowel,other,47,0.01856618309869592,0.9014209840296064,0.0022600774167657505,0.968678364963158
egemaps_logRelF0-H1-H2_sma3nz_stddevNorm,prosody,other,45,-0.0176623735189696,0.9083202287829699,0.14690083617140057,0.968678364963158
egemaps_hammarbergIndexV_sma3nz_amean,vowel,surface_damping,47,0.017120218682909635,0.9090649100948723,0.04894962225697232,0.968678364963158
egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,vowel,other,47,0.014980191347545928,0.9203926657494688,0.050292079755860405,0.968678364963158
egemaps_mfcc1V_sma3nz_amean,vowel,spectral_envelope_mfcc,47,-0.013996935544811255,0.9256026841579101,0.13058232410993528,0.968678364963158
egemaps_spectralFlux_sma3_stddevNorm,prosody,other,45,-0.013905823927248453,0.9277608413701017,-0.03703497000114232,0.968678364963158
egemaps_spectralFluxV_sma3nz_amean,prosody,other,45,-0.013444493275633575,0.930151384538487,-0.0448988750651028,0.968678364963158
egemaps_hammarbergIndexUV_sma3nz_amean,prosody,other,45,0.009292517411099677,0.9516911471863858,0.0350926045219798,0.9825803411694732
egemaps_StddevVoicedSegmentLengthSec,prosody,other,45,-0.008699378001880548,0.9547713941843495,-0.1627495617758259,0.9825803411694732
egemaps_loudness_sma3_stddevRisingSlope,prosody,other,45,0.007644907941046542,0.9602489697792579,-0.058219682232085776,0.9825803411694732
egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,prosody,other,45,0.005601872198180657,0.9708667038364973,0.022840929840193553,0.9839923877276777
egemaps_StddevUnvoicedSegmentLength,vowel,other,47,-0.004201939161675158,0.9776370765018141,0.055641040656657675,0.9839923877276777
egemaps_loudness_sma3_stddevNorm,vowel,other,47,0.003585991751149991,0.9809145223572964,0.14402103943503022,0.9839923877276777
egemaps_F2bandwidth_sma3nz_amean,vowel,surface_damping,47,0.0030076059848354758,0.9839923877276777,0.08259533607135866,0.9839923877276777
