arm,feature,label,task,hormone,n,raw_rho,partial_rho
peripheral,egemaps_mfcc3V_sma3nz_amean,Timbre MFCC3,prosody,pdg,29,-0.015270935960591127,-0.00969241082619604
peripheral,egemaps_mfcc3V_sma3nz_amean,Timbre MFCC3,prosody,ep_ratio,29,-0.042857142857142844,-0.040441035591176275
peripheral,egemaps_mfcc4V_sma3nz_amean,Timbre MFCC4,prosody,e3g,29,0.09113300492610836,0.07868828067246648
peripheral,egemaps_mfcc4V_sma3nz_amean,Timbre MFCC4,prosody,pdg,29,-0.24729064039408863,-0.2645720438695064
peripheral,egemaps_mfcc4V_sma3nz_amean,Timbre MFCC4,prosody,ep_ratio,29,0.3704433497536945,0.368041411006944
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,Pitch variability (F0 SD),prosody,e3g,29,0.19556650246305415,0.22253239732156183
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,Pitch variability (F0 SD),prosody,pdg,29,0.13448275862068965,0.13852594518408817
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,Pitch variability (F0 SD),prosody,ep_ratio,29,0.015763546798029552,0.01609460425201635
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,Pitch range,prosody,e3g,29,-0.1527093596059113,0.16665752610979517
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,Pitch range,prosody,pdg,29,-0.5211822660098521,-0.4937657072250881
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,Pitch range,prosody,ep_ratio,29,0.3389162561576354,0.49198601371526307
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,Pitch rising slope,prosody,e3g,29,0.12364532019704431,0.06654028845785423
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,Pitch rising slope,prosody,pdg,29,0.13990147783251228,0.11260094360193054
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,Pitch rising slope,prosody,ep_ratio,29,-0.024630541871921176,-0.03934461558405908
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,Pitch falling slope,prosody,e3g,29,0.13891625615763545,0.22397728692096955
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,Pitch falling slope,prosody,pdg,29,0.1763546798029556,0.21071356009926198
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,Pitch falling slope,prosody,ep_ratio,29,-0.12118226600985219,-0.11014287181383971
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,Pitch rising-slope SD,prosody,e3g,29,0.112807881773399,0.023612100782270405
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,Pitch rising-slope SD,prosody,pdg,29,0.034482758620689655,-0.010044358413089604
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,Pitch rising-slope SD,prosody,ep_ratio,29,0.058128078817733984,0.0391473280104276
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,Pitch falling-slope SD,prosody,e3g,29,-0.11083743842364528,-0.09015515720309902
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,Pitch falling-slope SD,prosody,pdg,29,0.12610837438423642,0.1450333697548887
central,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,Pitch falling-slope SD,prosody,ep_ratio,29,-0.16551724137931031,-0.15992675607357962
central,egemaps_VoicedSegmentsPerSec,Speaking-rate proxy,prosody,e3g,29,0.10199556850557413,0.1071845249664401
central,egemaps_VoicedSegmentsPerSec,Speaking-rate proxy,prosody,pdg,29,0.2875092474541183,0.29142871243347973
central,egemaps_VoicedSegmentsPerSec,Speaking-rate proxy,prosody,ep_ratio,29,-0.20867209305367462,-0.21134523200339367
central,egemaps_MeanVoicedSegmentLengthSec,Mean voiced-segment length,prosody,e3g,29,-0.056157635467980284,-0.18796818880154986
central,egemaps_MeanVoicedSegmentLengthSec,Mean voiced-segment length,prosody,pdg,29,-0.04778325123152708,-0.10346070909657719
central,egemaps_MeanVoicedSegmentLengthSec,Mean voiced-segment length,prosody,ep_ratio,29,0.010837438423645318,-0.012378379678104115
central,egemaps_StddevVoicedSegmentLengthSec,Voiced-segment length SD,prosody,e3g,29,-0.07783251231527093,-0.2517178045984983
central,egemaps_StddevVoicedSegmentLengthSec,Voiced-segment length SD,prosody,pdg,29,0.026600985221674867,-0.040643840336402545
central,egemaps_StddevVoicedSegmentLengthSec,Voiced-segment length SD,prosody,ep_ratio,29,-0.034482758620689655,-0.06686772224836755
